[ edit,edit
African-Islamic cluster,African Islamic cluster
number of scholars,number scholar
trust and tolerance,trust tolerance
time,time
not geographical closeness,geographical closeness
cultural values,cultural
gays and lesbians,gays lesbian
two factors,factor
decision-making,decision making
map and it,map
Four Time Periods,Time period
Ireland,Ireland
Inglehart's research tradition,Inglehart tradition
Nova Science Publishers,Nova Science publisher
Minkov,Minkov
Psychological Country-level Differences,Psychological Country level difference
environmental protection,environmental protection
non-primary source,primary source
Quest,quest
traditional/secular dimension,traditional secular dimension
lesbians,lesbian
Robyn Moloney,Robyn Moloney
Russia and Europe,Russia Europe
Democracy,democracy
"""Dimensions and dynamics",Dimensions dynamic
various updates,update
Cross-Cultural Research,Cross Cultural
Inglehart and Welzel,Inglehart welzel
Yudhishthir Raj Isar,Yudhishthir Raj isar
Shalom Schwartz,Shalom schwartz
potential racism,potential racism
axis (survival values,axis survival
special cultural values,special cultural
less emphasis,emphasis
10.1177/0022022118798505,10 1177 0022022118798505
Europe,Europe
Cultural Variables,Cultural variable
Human Development Sequence,Human Development sequence
Engelbrekt,Engelbrekt
science,science
gender equality,gender equality
Reproducibility,reproducibility
subjective well-being,subjective
combined dimension,combined dimension
Ashley Simpson,Ashley Simpson
Vienna,Vienna
number,number
religion and superstition,religion superstition
Russia,Russia
hard work,hard work
Analysis,analysis
scatter plot,scatter plot
Bomhoff,Bomhoff
single-factor solution,single factor solution
unrotated second factor,unrotated factor
Modernization and Postmodernization,Modernization postmodernization
b [WVS wave,WVS wave
common practice,common practice
WVS,WVS
rising demands,rising demand
borders,border
Ronald Inglehart,Ronald inglehart
Divorce,divorce
Palgrave Macmillan,Palgrave macmillan
bureaucracy,bureaucracy
societies,society
chart,chart
Beugelsdijk,Beugelsdijk
"""A Test",test
Emerald,emerald
x of algorithms,algorithm
B. Puranen,Puranen
Lazar,lazar
S2CID,S2CID
transition,transition
ten indicators,indicator
tolerance,tolerance
SAGE Handbook,Handbook
new waves,wave
"""Secular Values",Secular
dimensions,dimension
quality,quality
unrotated solution,unrotated solution
political moderation,political moderation
autonomy,autonomy
country's location,country location
political scientists,political scientist
Engelbrekt and Nygren,Engelbrekt Nygren
Globalization,globalization
van de Vijver,van Vijver
Meaningful Concept,Meaningful concept
European Values Survey,European Values survey
M. Lagos,lago
^ Li,Li
clusters of countries,clusters country
hdl,hdl
cross-national variance,cross national variance
vertical line,vertical
dynamics,dynamic
Journal,journal
Hofstede,hofstede
y-axis (traditional values,axis traditional
vertical y-axis,vertical axis
both axes,axis
Explication and Applications,Explication application
Cultures,culture
Francis,francis
Schwartz,schwartz
single factor,single factor
African-Islamic,African Islamic
lot,lot
Elisabeth Staksrud,Elisabeth staksrud
Findings and Insights,Findings insight
center,center
two major dimensions,major dimension
Country-Pooled Datafile,Country Pooled datafile
True-3D,True
other important orientations,orientation
common framework,common framework
Cultural Value Orientations,Cultural orientation
opposite preferences,preference
other rich societies,rich society
Princeton University Press,Princeton University press
Spain,Spain
high-density diagrams,high density diagram
Work of Teachers,Work teacher
self-expression chart,expression chart
scholars,scholar
Nygren,Nygren
Savage,savage
Michal Frenkel,Michal Frenkel
levels of trust,levels trust
Tensions,tension
National Culture,National culture
split,split
Lee and Vijver,Lee Vijver
Social Science Journal,Social Science journal
Answer,answer
^ Robert Westwood,Robert westwood
even cultural clusters,cultural cluster
nationalistic outlook,nationalistic outlook
"""Value Change",change
generalizations,generalization
East Asian cultures,East Asian culture
integral sign posts,integral sign post
Cambridge University Press,Cambridge University press
Citizen Secularism,Citizen secularism
Robert Franzese,Robert franzese
growing tolerance,growing tolerance
comic culture,comic culture
Stankov,Stankov
two predominant dimensions,predominant dimension
Western world countries,Western country
Latin America,Latin America
strongest factor,strongest factor
Geodata,geodata
Poland,Poland
Postmodernization,postmodernization
science and bureaucracy,science bureaucracy
autonomy and freedom,autonomy freedom
euthanasia,euthanasia
WVSA Secretariat,WVSA Secretariat
"""A Theory",theory
material wealth,material wealth
Conflicts and Tensions,Conflicts tension
Whither the West,west
some developing societies,developing society
self-expression and quality,expression quality
which measures,measure
Ideologies and Practices,Ideologies practice
Gavin Jack,Gavin jack
National Change,National change
shift,shift
socio-economic status,socio economic status
most famous pieces,famous piece
democratic values,democratic
October,October
Christian Welzel,Christian welzel
horizontal x,horizontal
authority,authority
Emancipative Values,Emancipative
""" cultural essentialism",cultural essentialism
meta-analysis of studies,analysis study
Building Bridges,Building bridge
measured change,measured change
Bomhoff and Gu,Bomhoff Gu
most downwards-located countries,located country
Regulation,regulation
software development,software development
Peoples Motivations,Peoples motivation
