appropriately low resolution,appropriately resolution
simulation programs,simulation program
human decisions,human decision
lessons,lesson
Office,office
U.S. Air Force,Air force
approach,approach
any editorial,editorial
standard,standard
secrecy,secrecy
leverage,leverage
prepared threat position,prepared threat position
Russia,Russia
analyses,analysis
single part,single
Military,military
levels of fidelity,levels fidelity
existing simulations,existing simulation
position,position
scenario,scenario
adversary tactics,adversary tactic
cost,cost
adversary capabilities,adversary capability
Both sets,set
live operational plan,live operational plan
pace,pace
monolithic resource,monolithic resource
single entities,single entity
multiple simulations,multiple simulation
viable alternative,viable alternative
goals,goal
case,case
lead time,lead time
cooperating combination,cooperating combination
levels of abstraction,levels abstraction
"credible, multi-domain threats",credible multi domain threat
resource,resource
simulation loop,simulation loop
critical decisions,critical decision
individual weapon systems,individual weapon
right path,path
interaction,interaction
joint planning,joint plan
armored vehicles,armored vehicle
other assets,asset
Defense,defense
wide-area map,wide area map
initial activities,initial activity
appearance,appearance
separate models,separate model
1990s,1990
flexibility,flexibility
operations research/systems analyst,operations systems analyst
security concerns,security concern
step,step
trading precision,trading precision
much experience,experience
"joint, mission-level model",joint mission level model
different force levels,force level
abstraction,abstraction
revision,revision
high-fidelity models,high fidelity model
necessary scale,scale
airframes,airframe
analysts,analyst
proof of concept,proof concept
much-needed improvements,needed improvement
defense professionals,defense professional
high-level campaign models,high level campaign model
joint integration,joint integration
simulation capability,simulation capability
difficult problems,difficult problem
reasonable return,reasonable return
more granular direction,granular direction
other control,control
rebuilds,rebuild
Semi-Automated Forces,Semi Automated force
"high-fidelity, service-specific, simulations",high fidelity service specific simulation
concept,concept
Undersecretary of Defense,Undersecretary defense
service components,service component
artillery systems,artillery
speed,speed
mechanisms,mechanism
Invitees,invitee
plan,plan
American military supremacy,American military supremacy
Defense and service,Defense service
Joint Warfare System,Joint Warfare
views,view
official position,official position
complete joint environment,complete joint environment
artifacts,artifact
MITRE Corp.,MITRE Corp
focus,focus
acquisition professionals,acquisition professional
paper,paper
U.S. Navy,Navy
linked websites,linked website
multi-service operations,multi service operation
video teleconference,video teleconference
models and support,models support
actual intelligence,actual intelligence
resources and models,resources model
research staff member,staff member
hindsight,hindsight
Defense Department,Defense department
Army,army
mistakes,mistake
products,product
Spc,Spc
Blindness,blindness
simulation owners,simulation owner
intelligence community,intelligence community
levels of resolution,levels resolution
other government programs,government program
1990s simulation-development efforts,1990s simulation development effort
journey,journey
logistics and combat,logistics combat
America’s best approach,America approach
support,support
Campaign models,Campaign model
existing aircraft,existing aircraft
complementary mission-level simulations,complementary mission level simulation
various services,service
authoritative models,authoritative model
precedence,precedence
simulation and result,simulation result
several intelligence centers,intelligence center
Existing defense simulations,Existing defense simulation
schedule,schedule
Jonathan Wallace,Jonathan wallace
other registrants,registrant
buy-in,buy
appropriate resolution,resolution
processes,process
much benefit,benefit
port,port
logistics,logistic
yet further modifications,modification
authority,authority
rich base,rich base
live exercise opportunities,live exercise opportunity
existing multi-domain operations,existing multi domain operation
multiple scenario variations,multiple scenario variation
board game,board game
right direction,direction
Campaign-level simulations,Campaign level simulation
"big-picture, low-resolution representations",big picture resolution representation
near future,future
Institute of Technology,Institute technology
